Reference,Description_1,Unit_L,Unit_W,Unit_H,Test_Peformed,Materials,Price,Description_2,Price_Type,MOQ,Qty_Per_Carton,Carton_L,Carton_W,Carton_H
HP-L161022C,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161022C&C-1,Halloween necklace & earring set,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161022C-1,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,2,,1,,,,,
HP-L161022D,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161022D&D-1,Halloween necklace & earring set,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161022D-1,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161026,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161027,Halloween crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L161029,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,3.3,,1,,,,,
HP-L16103,Halloween handband,,,,,Alloy/Resin/Plastic/ABS,4.1,,1,,216,50,40,45
HP-L161030,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.1,,1,,,,,
HP-L161031,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.8,,1,,,,,
HP-L16104,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16105,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.4,,1,,,,,
HP-L16105-3,Halloween handband,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16105-9,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16105-9B,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16105-9R,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16106,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,6.45,,1,,,,,
HP-L16107,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16109,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1611172,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,3.4,,1,,,,,
HP-L1611173,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,3.3,,1,,,,,
HP-L1611203,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
